date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2024-01-01,1,490.70233191199753,472.59623893805303,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-02,1,490.70085152450054,487.3772123893805,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-03,1,490.7016365711297,493.5597345132743,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-04,1,490.70108106893053,489.3384955752212,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-05,1,490.70170672297377,495.06969026548666,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-06,1,490.7019880429941,494.01438053097337,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-07,1,490.7015780383706,485.9435840707964,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-08,1,490.7009518970124,496.65265486725656,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-09,1,490.70137363423805,492.43141592920347,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-10,1,490.70176480530637,482.9269911504424,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-11,1,490.70128539483693,483.6073008849557,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-12,1,490.70206382044034,487.4535398230088,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-13,1,490.70233763479234,478.93141592920347,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-14,1,490.7019148065973,471.99225663716805,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-15,1,490.7012604601884,486.3982300884955,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-16,1,490.70147150085944,493.48672566371675,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-17,1,490.70157824764726,498.99225663716805,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-18,1,490.70149962948403,491.4491150442477,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-19,1,490.7022716182172,496.65265486725656,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-20,1,490.70253688240405,484.8119469026548,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-21,1,490.702086928006,481.04203539823004,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-22,1,490.7013908236188,486.47123893805303,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-23,1,490.70114610439566,489.18584070796453,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-24,1,490.7010805117057,491.7511061946902,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-25,1,490.70155374263527,491.14712389380526,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-26,1,490.70233145699797,494.7676991150442,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-27,1,490.70258678610963,496.12499999999994,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-28,1,490.70209729942246,490.9977876106194,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-29,1,490.7013481589038,491.22345132743357,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-30,1,490.70081709789457,490.09181415929197,490.7099440633679,488.5911718526976,490.70164073075506
2024-01-31,1,490.700939530797,479.8373893805309,490.7099440633679,488.5911718526976,490.70164073075506
2024-02-01,2,438.35080133290427,516.0696902654867,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-02,2,438.35124631591975,507.62389380530965,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-03,2,438.3514713623687,501.4745575221238,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-04,2,438.35030059457665,490.48672566371675,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-05,2,438.3502689885117,482.2865044247787,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-06,2,438.34975849520015,471.46460176991144,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-07,2,438.35002070928925,451.62278761061935,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-08,2,438.3503346133472,423.66039823008845,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-09,2,438.3510669505531,414.72345132743357,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-10,2,438.35129254376534,365.200221238938,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-11,2,438.3507681696303,337.56969026548666,438.3583863999692,427.3258201098565,438.3498992695701
2024-02-12,2,438.3507269927077,313.05199115044246,438.3583863999692,427.3258201098565,438.3498992695701
