date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2023-01-01,1,452.4932353661779,487.7454982817869,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-02,1,452.49223045497615,488.3983505154639,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-03,1,452.49196217002776,495.41752577319585,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-04,1,452.4926286776068,498.0289347079038,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-05,1,452.49209437024507,490.10955326460476,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-06,1,452.4927136272026,482.928178694158,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-07,1,452.49297293552326,479.74501718213054,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-08,1,452.4925935385441,465.05381443298967,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-09,1,452.4920136332657,461.46515463917524,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-10,1,452.49238829539354,456.3234364261168,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-11,1,452.49270579205205,447.83230240549824,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-12,1,452.4923077401457,437.6299656357388,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-13,1,452.49302470455973,428.32783505154634,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-14,1,452.49327594090437,423.10501718213055,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-15,1,452.49288231726354,426.693676975945,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-16,1,452.49227404376177,427.9182817869416,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-17,1,452.492423548405,427.67498281786936,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-18,1,452.4924914776218,408.5760137457044,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-19,1,452.49248346017424,396.5781305841924,452.5002547887029,428.54842611683847,452.4926548430285
2023-01-20,1,452.4931961664202,384.8251683848797,452.5002547887029,428.54842611683847,452.4926548430285
