date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2024-01-01,1,689.3309833240093,656.9781469648561,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-02,1,689.3176553562093,677.5253674121406,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-03,1,689.3161797145302,686.121661341853,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-04,1,689.3170815738617,680.2512460063897,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-05,1,689.319898352071,688.2180191693291,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-06,1,689.3229277714111,686.7504153354632,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-07,1,689.3244075753244,675.5332907348243,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-08,1,689.3233661065738,690.4194249201278,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-09,1,689.3207859693382,684.5490095846645,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-10,1,689.3190583274535,671.3405750798721,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-11,1,689.3197562684485,672.2837060702875,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-12,1,689.3223766086948,677.6304153354632,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-13,1,689.3251834496257,665.784536741214,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-14,1,689.3264179231769,656.1400638977635,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-15,1,689.3251290587584,676.1628115015974,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-16,1,689.3223089854122,686.0166134185303,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-17,1,689.3203494933628,693.6690095846645,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-18,1,689.3208048788456,683.1864536741214,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-19,1,689.323153791141,690.4194249201278,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-20,1,689.3256904791369,673.9614057507987,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-21,1,689.326670131792,668.7197444089456,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-22,1,689.3251577864212,676.2670926517571,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-23,1,689.3221466550272,680.0411501597443,689.2699419882123,679.2128125322065,689.3222471596083
2024-01-24,1,689.3199839460548,683.6058785942491,689.2699419882123,679.2128125322065,689.3222471596083
