month,model_peak_h,model_trough_h,model_amp_pct
1,11,0,17.069479262619215
2,10,0,21.07934051526844
3,10,23,21.263855782612506
4,12,23,20.424268109486444
5,13,23,21.63772093431412
6,17,23,22.285158125943905
7,17,23,17.966442590039712
8,17,23,14.778458513476721
9,16,4,16.22216526386214
10,14,3,22.037904360482152
11,12,4,22.69462358842026
12,11,0,21.43404122211875
