month,source,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,real,1.0509822537254259,1.0515847298520267,1.047666645896862,1.0438850445666203,1.040820486918179,1.0439963529069942,1.0544715528564048,1.065618298712116,1.0398647775762855,0.9533141536780834,0.8770865299601098,0.8350030300603857,0.8211397987413835,0.8240676122479433,0.8452111404884213,0.8952894179606393,1.005747384745963,1.0922961780789937,1.0885260380583166,1.0739856166384854,1.067669248838468,1.064983291993097,1.061355608343384,1.0539871599331219
1,model,1.0188164120617267,1.0192895465384273,1.0159037651513787,1.0150531449637346,1.0232685562960635,1.0277710865346226,1.0355657433023562,1.040307926137876,1.0406106685774035,1.016102128856986,1.0003702564049024,0.9762872477321514,0.9355911026253323,0.9109337827782085,0.8957595153902737,0.8819089644437716,0.904288493772411,1.0081016176255888,1.0237248283915537,1.0422742927226736,1.0352640847748487,1.0488621813169305,1.047209351054732,1.0367353025460468
2,real,1.0189562993433474,1.020414544611764,1.0231626862029486,1.0318692942789585,1.0368104104182458,1.039913145277847,1.0440399943146026,1.0489164923885705,1.008100783274138,0.9552570758971493,0.9194586379321635,0.9002678665575489,0.8911265843066607,0.9022476604052435,0.9244448143421853,0.9517728998729716,0.9916523952546225,1.0493032918689762,1.0777108209497201,1.0593644197483028,1.041562965898365,1.030988975840611,1.0217086671397768,1.0109492738752808
2,model,1.0189026712303288,1.0215554282169346,1.0192012355611386,1.0160327571794079,1.0188443502436362,1.0353761387319456,1.0459453784132327,1.0483314094271468,1.0352063552968256,1.0067288534405245,0.986144312196916,0.9571293310559991,0.9321976471572156,0.9358965386700961,0.9242450465962037,0.9151860052343189,0.9181955508354207,0.9649636198874222,1.0031022266773213,1.0411706399262424,1.0452463453661895,1.0501737533556184,1.0395709795064945,1.02065342579342
3,real,1.0839015461757813,1.0917765982780665,1.0894653785358515,1.0881486606686082,1.0873300477022187,1.0920587313537413,1.1079937690467099,1.0907564629184483,1.0060485275720235,0.8979693951482774,0.8124720738435137,0.7845361225471315,0.7872101017834702,0.7976901207367239,0.8119947521333336,0.8297883629649528,0.8961599159758797,1.0074388471681786,1.106835128567857,1.125222348926806,1.1169397893063575,1.1077543374575418,1.0988473560406828,1.0816616251478424
3,model,1.0277556976672462,1.0313784285775192,1.0324633679963293,1.034143285718969,1.0319526315877237,1.033995042103879,1.041047920147547,1.0477435954685022,1.024869354121456,1.015031519660028,0.9920756939811293,0.9662211630006746,0.9331062505712441,0.921530299977253,0.9096005380406255,0.9134062651504816,0.9200956570604844,0.931288114719783,0.9992779502368087,1.024929696414069,1.0460182368770512,1.0425239300478253,1.0391232095083547,1.0404221513650156
4,real,1.091947328802374,1.0972613033206193,1.10021154452819,1.1052416180652924,1.1098983206968567,1.116765138411906,1.1143246582143225,1.0650821686730874,0.9739462066950028,0.8792257645690069,0.7956294250611172,0.7587837533033556,0.7306646799203799,0.7367237326280094,0.7709916844088752,0.8309611743551081,0.9232248764744067,1.033823233521083,1.1185076204941888,1.1469770585321923,1.1379088459343447,1.1274279372321034,1.1245557839452103,1.1099161422129675
4,model,1.036521757257305,1.0300777380331778,1.0329607089084012,1.0263203854304217,1.0225761260422759,1.0493870518657247,1.0608676909178056,1.0405946240765211,1.0210641983488689,1.0063804453419951,0.990524054263641,0.9614586545127667,0.9418420291062102,0.934052496240825,0.9197849682785755,0.9245119143757331,0.9196929392078005,0.9244678796227339,0.9644275862198298,1.022825187693918,1.0390885059207167,1.054494597930295,1.03863193096204,1.0374465294424167
5,real,1.0983916680221397,1.0962575169570614,1.0924217995836527,1.0959401707299294,1.1084574753298357,1.1201404722244408,1.1103948342439496,1.0521404468847064,0.9509037824675078,0.8512012917452346,0.7754191871623426,0.7545985561016307,0.7384030590513756,0.7568239013361107,0.7972068522124217,0.8545732609748766,0.9370921719600083,1.0361822078806076,1.1219412930288646,1.1559994125053514,1.1504884754432205,1.132717236891593,1.1138838313940345,1.098421095869105
5,model,1.0258610070098602,1.030012147464223,1.039372767379607,1.0363001326881223,1.048958341100907,1.0628110613992428,1.0558409274614688,1.0341722677851883,1.015542629506206,1.0169218336409964,1.0014551150434123,0.9775555789718027,0.9504778705514177,0.9205604230201468,0.9117848343090579,0.9018069451410627,0.8999548754559111,0.9187181683027936,0.9262073523845539,1.030917332570294,1.0333121982835376,1.047491202037732,1.0717687445527637,1.0421962439396937
